id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1441014046929690627,1441014046929690627,2021-09-23 15:18:16 Фінляндія (літо),2021-09-23,15:18:16,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Вітаю ухвалення @ua_parliament мого законопроекту про деолігархізацію #5599! Україна відкрита для великого бізнесу, але не для олігархічного впливу на чиновників, політиків і медіа. Сьогодні ми зробили ще один крок до того, щоб його позбутися. Дякую всім депутатам за підтримку!",uk,"[{'screen_name': 'ua_parliament', 'name': 'verkhovna rada', 'id': '832524310199824384'}]",[],[],328,223,1140,[],[],https://twitter.com/ZelenskyyUa/status/1441014046929690627,False,,0,,,,,,,,[],,,,
1440903792602591233,1440903792602591233,2021-09-23 08:00:09 Фінляндія (літо),2021-09-23,08:00:09,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"During a meeting with my friend @BorisJohnson discussed strengthening 🇺🇦🇬🇧 interaction in the fields of trade, defense, finance, energy. Summed up the first results of the FTA - a 70% increase in trade. Grateful for supporting 🇺🇦 territorial integrity and #CrimeaPlatform.  https://t.co/6fYeFBT4XA",en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],['https://pbs.twimg.com/media/E_8eWW6XsAAQngn.jpg'],82,68,484,['crimeaplatform'],[],https://twitter.com/ZelenskyyUa/status/1440903792602591233,False,,1,https://pbs.twimg.com/media/E_8eWW6XsAAQngn.jpg,,,,,,,[],,,,
1440903724780736513,1440903724780736513,2021-09-23 07:59:53 Фінляндія (літо),2021-09-23,07:59:53,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Під час зустрічі з моїм другом @BorisJohnson обговорили посилення взаємодії 🇺🇦 і 🇬🇧 у сферах торгівлі, оборони, фінансів, енергетики. Підбили перші підсумки Угоди про вільну торгівлю – зростання товарообігу на 70%. Вдячний за підтримку цілісності 🇺🇦 і #КримськоїПлатформи.  https://t.co/4a6enH0r5Q",uk,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],['https://pbs.twimg.com/media/E_8doL4XEAE05hJ.jpg'],101,134,846,['кримськоїплатформи'],[],https://twitter.com/ZelenskyyUa/status/1440903724780736513,False,,1,https://pbs.twimg.com/media/E_8doL4XEAE05hJ.jpg,,,,,,,[],,,,
1440700404338069514,1440700404338069514,2021-09-22 18:31:57 Фінляндія (літо),2021-09-22,18:31:57,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,Thanked @jensstoltenberg for the constant support of 🇺🇦 &amp; participation of the @NATO representative in the #CrimeaPlatform Summit in Kyiv. There must be a clear time perspective for the countries aspiring to join the Alliance. The Euro-Atlantic course of our state is unchanged.  https://t.co/qdeXR2QYVt,en,"[{'screen_name': 'jensstoltenberg', 'name': 'jens stoltenberg', 'id': '20796069'}, {'screen_name': 'nato', 'name': 'nato', 'id': '83795099'}]",[],['https://pbs.twimg.com/media/E_5lWp7VcAUeO6y.jpg'],52,50,277,['crimeaplatform'],[],https://twitter.com/ZelenskyyUa/status/1440700404338069514,False,,1,https://pbs.twimg.com/media/E_5lWp7VcAUeO6y.jpg,,,,,,,[],,,,
1440700237492801555,1440700237492801555,2021-09-22 18:31:18 Фінляндія (літо),2021-09-22,18:31:18,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"На зустрічі з @jensstoltenberg подякував за незмінну підтримку 🇺🇦 та участь представника @NATO у саміті #КримськоїПлатформи в Києві. Для країн, які прагнуть членства в Альянсі, має бути чітка часова перспектива. Євроатлантичний курс нашої держави незмінний.  https://t.co/Km0mnxPeVR",uk,"[{'screen_name': 'jensstoltenberg', 'name': 'jens stoltenberg', 'id': '20796069'}, {'screen_name': 'nato', 'name': 'nato', 'id': '83795099'}]",[],['https://pbs.twimg.com/media/E_5lNwYUcAcxuh3.jpg'],45,61,380,['кримськоїплатформи'],[],https://twitter.com/ZelenskyyUa/status/1440700237492801555,False,,1,https://pbs.twimg.com/media/E_5lNwYUcAcxuh3.jpg,,,,,,,[],,,,
1440690561665540110,1440690561665540110,2021-09-22 17:52:51 Фінляндія (літо),2021-09-22,17:52:51,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Discussed with @BradSmi the expansion of @Microsoft presence in 🇺🇦. We‘re interested in creating #Azure data center in 🇺🇦. Also discussed #Microsoft participation in creating e-voting systems, anticorruption programs, cooperation in cybersecurity &amp; countering disinformation.  https://t.co/w6fZbk8Gx8",en,"[{'screen_name': 'bradsmi', 'name': 'brad smith', 'id': '14505546'}, {'screen_name': 'microsoft', 'name': 'microsoft', 'id': '74286565'}]",[],['https://pbs.twimg.com/media/E_5caZgUcAcdNmT.jpg'],21,32,205,"['azure', 'microsoft']",[],https://twitter.com/ZelenskyyUa/status/1440690561665540110,False,,1,https://pbs.twimg.com/media/E_5caZgUcAcdNmT.jpg,,,,,,,[],,,,
1440689849997008903,1440689849997008903,2021-09-22 17:50:01 Фінляндія (літо),2021-09-22,17:50:01,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Обговорив з @BradSmi розширення присутності @Microsoft в Україні. Ми зацікавлені у створенні в 🇺🇦 дата-центру #Azure. Також ішлося про участь #Microsoft у розробці систем електронного голосування, антикорупційних програм і взаємодію у сфері кібербезпеки та протидії дезінформації.  https://t.co/PaonaUo8D7",uk,"[{'screen_name': 'bradsmi', 'name': 'brad smith', 'id': '14505546'}, {'screen_name': 'microsoft', 'name': 'microsoft', 'id': '74286565'}]",[],['https://pbs.twimg.com/media/E_5bvwOVUAgaUjF.jpg'],28,54,277,"['azure', 'microsoft']",[],https://twitter.com/ZelenskyyUa/status/1440689849997008903,False,,1,https://pbs.twimg.com/media/E_5bvwOVUAgaUjF.jpg,,,,,,,[],,,,
1440562891694882824,1440562891694882824,2021-09-22 09:25:32 Фінляндія (літо),2021-09-22,09:25:32,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,Зустрівся з представниками української громади у США. Приємне спілкування відбулося в традиційно теплій атмосфері. Вдячний американським українцям за гостинність. Мав честь вручити державні нагороди видатним представникам громади. Ви – справжні патріоти нашої країни!  https://t.co/G6JnxlAMIm,uk,[],[],"['https://pbs.twimg.com/media/E_3oJBYVEAYQSrc.jpg', 'https://pbs.twimg.com/media/E_3oKQxVEAodX3L.jpg', 'https://pbs.twimg.com/media/E_3oLxiVQAcF5pt.jpg', 'https://pbs.twimg.com/media/E_3oMtrVUAQu-Mw.jpg']",74,86,490,[],[],https://twitter.com/ZelenskyyUa/status/1440562891694882824,False,,1,https://pbs.twimg.com/media/E_3oJBYVEAYQSrc.jpg,,,,,,,[],,,,
1440552451573047304,1440552451573047304,2021-09-22 08:44:03 Фінляндія (літо),2021-09-22,08:44:03,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"At a meeting with @abdulla_shahid, stressed that protecting human rights in the occupied 🇺🇦 territories, preventing militarization of #Crimea &amp; countering 🇷🇺 aggression must be a priority of #UNGA76. We count on adopting the relevant resolutions initiated by 🇺🇦 together.  https://t.co/uKFTBErrvy",en,"[{'screen_name': 'abdulla_shahid', 'name': 'abdulla shahid', 'id': '591211894'}]",[],['https://pbs.twimg.com/media/E_3ewjEUYAotJS4.jpg'],28,25,187,"['crimea', 'unga76']",[],https://twitter.com/ZelenskyyUa/status/1440552451573047304,False,,1,https://pbs.twimg.com/media/E_3ewjEUYAotJS4.jpg,,,,,,,[],,,,
1440552281376628745,1440552281376628745,2021-09-22 08:43:22 Фінляндія (літо),2021-09-22,08:43:22,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"На зустрічі з @abdulla_shahid наголосив, що захист прав людини на окупованих територіях України, запобігання мілітаризації #Криму й протидія агресії РФ мають бути пріоритетом #UNGA76. Розраховуємо на тісну співпрацю та ухвалення відповідних резолюцій, які ініціює 🇺🇦.  https://t.co/3DclAOb5q9",uk,"[{'screen_name': 'abdulla_shahid', 'name': 'abdulla shahid', 'id': '591211894'}]",[],['https://pbs.twimg.com/media/E_3enzqUUAoytRw.jpg'],26,21,186,"['криму', 'unga76']",[],https://twitter.com/ZelenskyyUa/status/1440552281376628745,False,,1,https://pbs.twimg.com/media/E_3enzqUUAoytRw.jpg,,,,,,,[],,,,
