time,sensor_id,val,factor
2020-01-13T09:30:00.000Z,9969,1.349275336,PM10
2020-01-13T09:30:00.000Z,9969,1.299999961,PM25
2020-01-13T10:00:00.000Z,10001,35.54106204,PM10
2020-01-13T10:00:00.000Z,10001,31.98309135,PM25
2020-01-13T10:00:00.000Z,10049,35.11111069,PM10
2020-01-13T10:00:00.000Z,10049,31.99516805,PM25
2020-01-13T10:00:00.000Z,10050,38.22584597,PM10
2020-01-13T10:00:00.000Z,10050,32.65700563,PM25
2020-01-13T10:00:00.000Z,9969,2.322463751,PM10
2020-01-13T10:00:00.000Z,9969,2.271739125,PM25
2020-01-13T10:30:00.000Z,10001,36.61473465,PM10
2020-01-13T10:30:00.000Z,10001,32.56763236,PM25
2020-01-13T10:30:00.000Z,10049,35.75845528,PM10
2020-01-13T10:30:00.000Z,10049,32.40217463,PM25
2020-01-13T10:30:00.000Z,10050,37.46256002,PM10
2020-01-13T10:30:00.000Z,10050,32.83333365,PM25
2020-01-13T10:30:00.000Z,9969,1.269323707,PM10
2020-01-13T10:30:00.000Z,9969,1.237922728,PM25
2020-01-13T11:00:00.000Z,10001,38.57004865,PM10
2020-01-13T11:00:00.000Z,10001,33.8369573,PM25
2020-01-13T11:00:00.000Z,10049,35.4794693,PM10
2020-01-13T11:00:00.000Z,10049,32.67753601,PM25
2020-01-13T11:00:00.000Z,10050,38.1545887,PM10
2020-01-13T11:00:00.000Z,10050,32.63164202,PM25
2020-01-13T11:00:00.000Z,9969,1.421497623,PM10
2020-01-13T11:00:00.000Z,9969,1.385265748,PM25
2020-01-13T11:30:00.000Z,10001,39.99999936,PM10
2020-01-13T11:30:00.000Z,10001,34.58816338,PM25
2020-01-13T11:30:00.000Z,10049,35.40942001,PM10
2020-01-13T11:30:00.000Z,10049,32.48188464,PM25
2020-01-13T11:30:00.000Z,10050,39.88285001,PM10
2020-01-13T11:30:00.000Z,10050,34.04347801,PM25
2020-01-13T11:30:00.000Z,9969,1.861343364,PM10
2020-01-13T11:30:00.000Z,9969,1.861343364,PM25
2020-01-13T12:00:00.000Z,10001,39.78864733,PM10
2020-01-13T12:00:00.000Z,10001,34.37560463,PM25
2020-01-13T12:00:00.000Z,10049,39.80000076,PM10
